fluid reward multiplier,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
0 run #,1 left reward,2 right reward,3 stim left image,4 stim left sound,5 stim right image,6 stim right sound,7 itd (sec),8 decision (sec),9 stim  (sec),10 points (sec),5-Nov,4-Dec,13 -2,14 -1,15 0,16 1,17 2,18 3,19 4,20 startPoint,21 Left is aversive
42,0,0,images/PI/8040_Diver.gif,sounds/IADSPA/351_Applause.mp3,images/NI/3110_BurnVictim.gif,sounds/IADSNA/277_FemScream3.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,-2,0
43,4,0,images/NI/2205_Hospital.gif,sounds/IADSNA/287_CardiacArrest.mp3,images/PI/1340_Women.gif,sounds/IADSPA/226_Laughing.mp3,1,4,6,2,L,R,R,R,L,L,L,L,R,-1,1
44,0,2,images/PI/2655_Child.gif,sounds/Freesound/4yroldchild_laugh.mp3,images/PI/2655_Child.gif,sounds/Freesound/4yroldchild_laugh.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,4,3
45,6,0,images/NI/3062_Mutilation.gif,sounds/Freesound/Anguish.mp3,images/PI/2500_Man.gif,sounds/IADSPA/270_Whistling.mp3,1,4,6,2,L,L,L,R,R,L,R,R,R,-1,1
46,0,4,images/PI/2383_Secretary.gif,sounds/IADSPA/705_RotaryDial.mp3,images/NI/3181_BatteredFem.gif,sounds/IADSNA/290_Fight.mp3,1,4,6,2,L,L,L,L,L,R,R,R,R,-3,0
47,0,0,images/NI/2352_2_BloodyKiss.gif,sounds/IADSNA/277_FemScream3.mp3,images/PI/2352_1_Kiss.gif,sounds/Freesound/FemaleLaughter1.mp3,1,4,6,2,L,L,R,R,R,L,L,R,R,-4,1
48,0,4,images/PI/2010_Adult.gif,sounds/Freesound/manlaugh.mp3,images/NI/3010_mutilation.gif,sounds/Freesound/KnifeSharpen.mp3,1,4,6,2,L,R,L,L,L,R,R,L,R,-4,0
49,0,2,images/PI/5720_FarmLand.gif,sounds/SimplyTheBest/crickets.mp3,images/PI/5720_FarmLand.gif,sounds/SimplyTheBest/crickets.mp3,1,4,6,2,R,L,R,R,L,L,L,R,L,0,3
50,0,2,images/PI/2058_Baby.gif,sounds/IADSPA/111_MusicBox.mp3,images/NI/3350_Infant.gif,sounds/Freesound/babycry.mp3,1,4,6,2,L,L,L,L,L,R,R,R,R,3,0
51,4,0,images/NI/3500_Attack.gif,sounds/IADSNA/286_Victim.mp3,images/PI/8497_CarnivalRide.gif,sounds/IADSPA/360_RollerCoaster.mp3,1,4,6,2,L,L,R,R,R,L,L,R,R,1,1
52,0,0,images/PI/2340_Family.gif,sounds/Freesound/Manlaughing_hard.mp3,images/NI/9400_Soldier.gif,sounds/IADSNA/706_War.mp3,1,4,6,2,L,L,L,L,L,R,R,R,R,1,0
53,2,0,images/NI/3120_DeadBody.gif,sounds/Freesound/KnifeSharpen.mp3,images/PI/4533_AttractiveMan.gif,sounds/IADSPA/815_RocknRoll.mp3,1,4,6,2,L,R,R,R,R,L,L,L,R,-4,1
54,0,6,images/PI/2250_NeutBaby.gif,sounds/Freesound/GirlLaugh.mp3,images/NI/3301_InjuredChild.gif,sounds/AudioMicro/WomanCrying.mp3,1,4,6,2,L,L,L,L,L,R,R,R,R,3,0
55,2,0,images/PI/8510_SportCar.gif,sounds/Freesound/ferrari.mp3,images/PI/8510_SportCar.gif,sounds/Freesound/ferrari.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,4,3
56,0,0,images/NI/6821_Gang.gif,sounds/IADSNA/292_MaleScream.mp3,images/PI/8380_Athletes.gif,sounds/IADSPA/351_Applause.mp3,1,4,6,2,L,L,R,R,L,L,L,R,R,-3,1
