Time,Event,Image,Sound
565372,program_points_screen,,
565419,program_stimulus_sound,,sounds/reward/smallReward.mp3
567422,program_fixation_screen,,
568423,trial,44,
568423,program_decision_screen,,
569944,response_Lock,4,
572503,program_stimulus_image,images/PI/2655_Child.gif,
572549,program_stimulus_sound,,sounds/Freesound/4yroldchild_laugh.mp3
578552,program_points_screen,,
578624,program_stimulus_sound,,sounds/reward/bigReward.mp3
580625,program_fixation_screen,,
581625,trial,45,
581625,program_decision_screen,,
582792,response_L,-2,
582983,response_L,-3,
583143,response_L,-4,
583639,response_Lock,-4,
585679,program_stimulus_image,images/NI/3062_Mutilation.gif,
585711,program_stimulus_sound,,sounds/Freesound/Anguish.mp3
591713,program_points_screen,,
591761,program_stimulus_sound,,sounds/reward/bigReward.mp3
593763,program_fixation_screen,,
594763,trial,46,
594763,program_decision_screen,,
595735,response_R,-2,
595912,response_R,-1,
596103,response_R,0,
596231,response_R,1,
596424,response_R,2,
596599,response_Lock,2,
598817,program_stimulus_image,images/NI/3181_BatteredFem.gif,
598864,program_stimulus_sound,,sounds/IADSNA/290_Fight.mp3
604864,program_points_screen,,
604908,program_stimulus_sound,,sounds/reward/bigReward.mp3
606912,program_fixation_screen,,
607912,trial,47,
607912,program_decision_screen,,
608840,response_Lock,-4,
611969,program_stimulus_image,images/NI/2352_2_BloodyKiss.gif,
612016,program_stimulus_sound,,sounds/IADSNA/277_FemScream3.mp3
618019,program_points_screen,,
618064,program_stimulus_sound,,sounds/reward/smallReward.mp3
620065,program_fixation_screen,,
621065,trial,48,
621065,program_decision_screen,,
621767,response_R,-3,
621943,response_R,-2,
622135,response_R,-1,
622504,response_R,0,
622920,response_R,1,
623464,response_Lock,1,
625128,program_stimulus_image,images/NI/3010_mutilation.gif,
625179,program_stimulus_sound,,sounds/Freesound/KnifeSharpen.mp3
631180,program_points_screen,,
631228,program_stimulus_sound,,sounds/reward/bigReward.mp3
633228,program_fixation_screen,,
634228,trial,49,
634228,program_decision_screen,,
635223,response_R,1,
635399,response_R,2,
635575,response_R,3,
635719,response_R,4,
636103,response_Lock,4,
638316,program_stimulus_image,images/PI/5720_FarmLand.gif,
638392,program_stimulus_sound,,sounds/SimplyTheBest/crickets.mp3
644394,program_points_screen,,
644440,program_stimulus_sound,,sounds/reward/smallReward.mp3
646443,program_fixation_screen,,
647443,trial,50,
647443,program_decision_screen,,
648087,response_R,4,
648583,response_Lock,4,
651558,program_stimulus_image,images/NI/3350_Infant.gif,
651608,program_stimulus_sound,,sounds/Freesound/babycry.mp3
657610,program_points_screen,,
657668,program_stimulus_sound,,sounds/reward/bigReward.mp3
659670,program_fixation_screen,,
660671,trial,51,
660671,program_decision_screen,,
661255,response_Lock,1,
661543,response_Lock,1,
664729,program_stimulus_image,images/NI/3500_Attack.gif,
664783,program_stimulus_sound,,sounds/IADSNA/286_Victim.mp3
670784,program_points_screen,,
670827,program_stimulus_sound,,sounds/reward/bigReward.mp3
672828,program_fixation_screen,,
673829,trial,52,
673829,program_decision_screen,,
675127,response_L,0,
