PtsOther,Negative Image Side (1=L and 0=R),StartPos (starting position of the avatar),EndPos (end position of the avatar),InitialRT (reaction time for initial response),TotalRT (total time until they lock in response will be 4 seconds if they do not lock in),OutcomePts (Pts received),OutcomeImage (image shown),Piname (name of positive image file),Niname (name of negative image file),Paname (name of positive audio file),Naname (name of negative audio file),Oscillations (# made opposite movement from last)
0,L,4,4,0,1490,0,images/NI/6350_Attack.gif,images/PI/4700_Couple.gif,images/NI/6350_Attack.gif,sounds/Freesound/mansighs.mp3,sounds/IADSNA/285_Attack2.mp3,0
0,R,4,4,0,1642,2,images/NI/9265_HungMan.gif,images/PI/8050_Rower.gif,images/NI/9265_HungMan.gif,sounds/Freesound/rower.mp3,sounds/Freesound/mandying.mp3,0
0,R,3,4,843,1243,4,images/NI/3150_Mutilation.gif,images/PI/7503_carddealer.gif,images/NI/3150_Mutilation.gif,sounds/IADSPA/361_Restaurant.mp3,sounds/Freesound/panic&pain.mp3,1
2,L,3,1,988,1612,0,images/PI/7496_Street.gif,images/PI/7496_Street.gif,images/NI/9252_DeadBody.gif,sounds/Freesound/Tibetstreet.mp3,sounds/IADSNA/292_MaleScream.mp3,1
0,R,-2,-2,0,1034,0,images/PI/8040_Diver.gif,images/PI/8040_Diver.gif,images/NI/3110_BurnVictim.gif,sounds/IADSPA/351_Applause.mp3,sounds/IADSNA/277_FemScream3.mp3,0
4,L,-1,-3,918,1767,0,images/PI/1340_Women.gif,images/PI/1340_Women.gif,images/NI/2205_Hospital.gif,sounds/IADSPA/226_Laughing.mp3,sounds/IADSNA/287_CardiacArrest.mp3,1
0,L,4,4,0,1521,2,images/PI/2655_Child.gif,images/PI/2655_Child.gif,images/PI/2655_Child.gif,sounds/Freesound/4yroldchild_laugh.mp3,sounds/Freesound/4yroldchild_laugh.mp3,0
0,L,-1,-4,1167,2014,6,images/NI/3062_Mutilation.gif,images/PI/2500_Man.gif,images/NI/3062_Mutilation.gif,sounds/IADSPA/270_Whistling.mp3,sounds/Freesound/Anguish.mp3,1
0,R,-3,2,972,1836,4,images/NI/3181_BatteredFem.gif,images/PI/2383_Secretary.gif,images/NI/3181_BatteredFem.gif,sounds/IADSPA/705_RotaryDial.mp3,sounds/IADSNA/290_Fight.mp3,1
0,L,-4,-4,0,928,0,images/NI/2352_2_BloodyKiss.gif,images/PI/2352_1_Kiss.gif,images/NI/2352_2_BloodyKiss.gif,sounds/Freesound/FemaleLaughter1.mp3,sounds/IADSNA/277_FemScream3.mp3,0
0,R,-4,1,702,2399,4,images/NI/3010_mutilation.gif,images/PI/2010_Adult.gif,images/NI/3010_mutilation.gif,sounds/Freesound/manlaugh.mp3,sounds/Freesound/KnifeSharpen.mp3,1
2,L,0,4,995,1875,0,images/PI/5720_FarmLand.gif,images/PI/5720_FarmLand.gif,images/PI/5720_FarmLand.gif,sounds/SimplyTheBest/crickets.mp3,sounds/SimplyTheBest/crickets.mp3,1
0,R,3,4,644,1140,2,images/NI/3350_Infant.gif,images/PI/2058_Baby.gif,images/NI/3350_Infant.gif,sounds/IADSPA/111_MusicBox.mp3,sounds/Freesound/babycry.mp3,1
0,L,1,1,0,872,4,images/NI/3500_Attack.gif,images/PI/8497_CarnivalRide.gif,images/NI/3500_Attack.gif,sounds/IADSPA/360_RollerCoaster.mp3,sounds/IADSNA/286_Victim.mp3,0
0,R,1,-4,1298,2849,0,images/PI/2340_Family.gif,images/PI/2340_Family.gif,images/NI/9400_Soldier.gif,sounds/Freesound/Manlaughing_hard.mp3,sounds/IADSNA/706_War.mp3,1
0,L,-4,-4,0,1220,2,images/NI/3120_DeadBody.gif,images/PI/4533_AttractiveMan.gif,images/NI/3120_DeadBody.gif,sounds/IADSPA/815_RocknRoll.mp3,sounds/Freesound/KnifeSharpen.mp3,0
0,R,3,4,805,1141,6,images/NI/3301_InjuredChild.gif,images/PI/2250_NeutBaby.gif,images/NI/3301_InjuredChild.gif,sounds/Freesound/GirlLaugh.mp3,sounds/AudioMicro/WomanCrying.mp3,1
0,L,4,-4,1352,3063,2,images/PI/8510_SportCar.gif,images/PI/8510_SportCar.gif,images/PI/8510_SportCar.gif,sounds/Freesound/ferrari.mp3,sounds/Freesound/ferrari.mp3,1
0,L,-3,3,1352,2663,0,images/PI/8380_Athletes.gif,images/PI/8380_Athletes.gif,images/NI/6821_Gang.gif,sounds/IADSPA/351_Applause.mp3,sounds/IADSNA/292_MaleScream.mp3,1
